name,train_mrr,val_mrr,mrr,hit@1,val_hit@1,recall@10,val_recall@10,ndcg@5
"bm25+expand_sel[k30,sum,h2,a0.02]",0.3535,0.3189,0.3397,0.2,0.1875,0.6,0.5625,0.3124
"bm25+expand_sel[k30,sum,h2,a0.05]",0.3885,0.3238,0.3626,0.225,0.1875,0.625,0.625,0.3242
"bm25+expand_sel[k30,sum,h2,a0.1]",0.3974,0.324,0.368,0.225,0.1875,0.625,0.625,0.3351
"bm25+expand_sel[k30,sum,h2,a0.2]",0.4134,0.3272,0.3789,0.25,0.1875,0.65,0.625,0.3511
"bm25+expand_sel[k30,sum,h2,a0.3]",0.4141,0.3063,0.371,0.2,0.125,0.65,0.625,0.3597
"bm25+expand_sel[k30,sum,h2,a0.5]",0.4348,0.3171,0.3877,0.225,0.125,0.65,0.625,0.3699
"bm25+expand_sel[k30,sum,h2,a0.8]",0.3902,0.3421,0.371,0.2,0.1875,0.625,0.5625,0.3756
"bm25+expand_sel[k30,sum,h2,a1.2]",0.3385,0.3674,0.3501,0.2,0.25,0.625,0.5625,0.3542
"bm25+expand_sel[k30,sum,h2,a2.0]",0.2984,0.3262,0.3095,0.175,0.25,0.625,0.5625,0.3307
"bm25+expand_sel[k30,mean,h1,a0.02]",0.356,0.3157,0.3399,0.2,0.1875,0.6,0.5625,0.3092
"bm25+expand_sel[k30,mean,h1,a0.05]",0.3606,0.3198,0.3443,0.2,0.1875,0.6,0.5625,0.3151
"bm25+expand_sel[k30,mean,h1,a0.1]",0.3853,0.3212,0.3597,0.225,0.1875,0.625,0.625,0.3231
"bm25+expand_sel[k30,mean,h1,a0.2]",0.4012,0.285,0.3547,0.225,0.125,0.6,0.5625,0.3251
"bm25+expand_sel[k30,mean,h1,a0.3]",0.3962,0.2804,0.3499,0.225,0.125,0.6,0.5625,0.3105
"bm25+expand_sel[k30,mean,h1,a0.5]",0.4103,0.207,0.329,0.225,0.0625,0.55,0.5625,0.2799
"bm25+expand_sel[k30,mean,h1,a0.8]",0.3134,0.1943,0.2657,0.15,0.125,0.5,0.5,0.212
"bm25+expand_sel[k30,mean,h1,a1.2]",0.2024,0.1477,0.1805,0.05,0.0625,0.475,0.4375,0.1723
"bm25+expand_sel[k30,mean,h1,a2.0]",0.1531,0.1094,0.1356,0.05,0.0625,0.325,0.1875,0.1351
"bm25+expand_sel[k30,mean,h2,a0.02]",0.3541,0.3157,0.3387,0.2,0.1875,0.6,0.5625,0.3047
"bm25+expand_sel[k30,mean,h2,a0.05]",0.3583,0.3157,0.3413,0.2,0.1875,0.6,0.5625,0.3059
"bm25+expand_sel[k30,mean,h2,a0.1]",0.3578,0.3155,0.3409,0.2,0.1875,0.6,0.5625,0.3133
"bm25+expand_sel[k30,mean,h2,a0.2]",0.3851,0.3196,0.3589,0.225,0.1875,0.625,0.5625,0.34
"bm25+expand_sel[k30,mean,h2,a0.3]",0.4056,0.2761,0.3538,0.225,0.125,0.6,0.5625,0.3298
"bm25+expand_sel[k30,mean,h2,a0.5]",0.4236,0.2063,0.3367,0.225,0.0625,0.625,0.5625,0.2981
"bm25+expand_sel[k30,mean,h2,a0.8]",0.362,0.1923,0.2941,0.2,0.125,0.55,0.4375,0.2503
"bm25+expand_sel[k30,mean,h2,a1.2]",0.3301,0.1895,0.2739,0.175,0.125,0.5,0.3125,0.2431
"bm25+expand_sel[k30,mean,h2,a2.0]",0.2405,0.1676,0.2113,0.1,0.125,0.4,0.25,0.1968
"bm25+expand_sel[k30,sym,h1,a0.02]",0.3562,0.3157,0.34,0.2,0.1875,0.6,0.5625,0.3092
"bm25+expand_sel[k30,sym,h1,a0.05]",0.3608,0.3211,0.3449,0.2,0.1875,0.6,0.5625,0.3188
"bm25+expand_sel[k30,sym,h1,a0.1]",0.3852,0.3227,0.3602,0.225,0.1875,0.625,0.625,0.3231
"bm25+expand_sel[k30,sym,h1,a0.2]",0.3816,0.3259,0.3593,0.225,0.1875,0.625,0.625,0.317
"bm25+expand_sel[k30,sym,h1,a0.3]",0.4008,0.3148,0.3664,0.25,0.1875,0.6,0.5625,0.3148
"bm25+expand_sel[k30,sym,h1,a0.5]",0.4268,0.219,0.3437,0.225,0.0625,0.6,0.625,0.2865
"bm25+expand_sel[k30,sym,h1,a0.8]",0.3429,0.1861,0.2802,0.15,0.0625,0.575,0.5625,0.251
"bm25+expand_sel[k30,sym,h1,a1.2]",0.2553,0.1659,0.2195,0.1,0.0625,0.475,0.4375,0.2033
"bm25+expand_sel[k30,sym,h1,a2.0]",0.1923,0.0841,0.149,0.05,0.0,0.375,0.3125,0.1535
"bm25+expand_sel[k30,sym,h2,a0.02]",0.3543,0.3157,0.3389,0.2,0.1875,0.6,0.5625,0.3047
"bm25+expand_sel[k30,sym,h2,a0.05]",0.3587,0.3171,0.342,0.2,0.1875,0.625,0.5625,0.3133
"bm25+expand_sel[k30,sym,h2,a0.1]",0.3685,0.3207,0.3494,0.2,0.1875,0.6,0.5625,0.3182
"bm25+expand_sel[k30,sym,h2,a0.2]",0.3997,0.3192,0.3675,0.225,0.1875,0.625,0.5625,0.3343
"bm25+expand_sel[k30,sym,h2,a0.3]",0.414,0.3144,0.3742,0.25,0.1875,0.625,0.5625,0.3383
"bm25+expand_sel[k30,sym,h2,a0.5]",0.4406,0.2453,0.3624,0.25,0.125,0.625,0.5625,0.3288
"bm25+expand_sel[k30,sym,h2,a0.8]",0.414,0.2095,0.3322,0.25,0.125,0.6,0.5,0.2965
"bm25+expand_sel[k30,sym,h2,a1.2]",0.3319,0.1394,0.2549,0.125,0.0,0.55,0.4375,0.2504
"bm25+expand_sel[k30,sym,h2,a2.0]",0.2661,0.1188,0.2072,0.075,0.0,0.525,0.4375,0.2017
"bm25+expand_sel[k100,sum,h1,a0.02]",0.3612,0.3188,0.3443,0.2,0.1875,0.6,0.5625,0.3108
"bm25+expand_sel[k100,sum,h1,a0.05]",0.4126,0.3241,0.3772,0.25,0.1875,0.65,0.625,0.3274
"bm25+expand_sel[k100,sum,h1,a0.1]",0.4176,0.3247,0.3804,0.25,0.1875,0.65,0.625,0.336
"bm25+expand_sel[k100,sum,h1,a0.2]",0.4201,0.3362,0.3866,0.25,0.1875,0.675,0.625,0.3404
"bm25+expand_sel[k100,sum,h1,a0.3]",0.4478,0.3087,0.3921,0.25,0.125,0.675,0.625,0.3759
"bm25+expand_sel[k100,sum,h1,a0.5]",0.4335,0.3754,0.4103,0.275,0.25,0.675,0.625,0.3906
"bm25+expand_sel[k100,sum,h1,a0.8]",0.3911,0.3801,0.3867,0.25,0.25,0.7,0.625,0.3959
"bm25+expand_sel[k100,sum,h1,a1.2]",0.328,0.3666,0.3435,0.2,0.25,0.625,0.5625,0.3649
"bm25+expand_sel[k100,sum,h1,a2.0]",0.2511,0.2977,0.2697,0.15,0.1875,0.575,0.625,0.2792
"bm25+expand_sel[k100,sum,h2,a0.02]",0.3537,0.317,0.339,0.2,0.1875,0.6,0.5625,0.3076
"bm25+expand_sel[k100,sum,h2,a0.05]",0.3886,0.3232,0.3624,0.225,0.1875,0.625,0.625,0.3242
"bm25+expand_sel[k100,sum,h2,a0.1]",0.3973,0.3241,0.368,0.225,0.1875,0.625,0.625,0.3344
"bm25+expand_sel[k100,sum,h2,a0.2]",0.4163,0.36,0.3938,0.275,0.25,0.625,0.625,0.3468
"bm25+expand_sel[k100,sum,h2,a0.3]",0.3995,0.3331,0.373,0.225,0.1875,0.65,0.625,0.3481
"bm25+expand_sel[k100,sum,h2,a0.5]",0.4062,0.3401,0.3798,0.225,0.1875,0.65,0.625,0.3648
"bm25+expand_sel[k100,sum,h2,a0.8]",0.353,0.3378,0.3469,0.2,0.1875,0.65,0.625,0.3611
"bm25+expand_sel[k100,sum,h2,a1.2]",0.3256,0.2737,0.3048,0.15,0.125,0.625,0.5625,0.324
"bm25+expand_sel[k100,sum,h2,a2.0]",0.2762,0.201,0.2461,0.1,0.0625,0.6,0.625,0.2731
"bm25+expand_sel[k100,mean,h1,a0.02]",0.358,0.3157,0.3411,0.2,0.1875,0.6,0.5625,0.3092
"bm25+expand_sel[k100,mean,h1,a0.05]",0.3658,0.3189,0.3471,0.2,0.1875,0.625,0.5625,0.3128
"bm25+expand_sel[k100,mean,h1,a0.1]",0.3961,0.3204,0.3658,0.225,0.1875,0.625,0.5625,0.3329
"bm25+expand_sel[k100,mean,h1,a0.2]",0.4143,0.3221,0.3774,0.25,0.1875,0.625,0.5625,0.3535
"bm25+expand_sel[k100,mean,h1,a0.3]",0.4287,0.27,0.3652,0.225,0.125,0.625,0.5625,0.3485
"bm25+expand_sel[k100,mean,h1,a0.5]",0.4741,0.1975,0.3634,0.25,0.0625,0.625,0.5625,0.3316
"bm25+expand_sel[k100,mean,h1,a0.8]",0.4086,0.1841,0.3188,0.225,0.125,0.525,0.375,0.2716
"bm25+expand_sel[k100,mean,h1,a1.2]",0.2967,0.1355,0.2322,0.1,0.0625,0.45,0.1875,0.2211
"bm25+expand_sel[k100,mean,h1,a2.0]",0.1977,0.108,0.1618,0.05,0.0625,0.4,0.1875,0.1617
"bm25+expand_sel[k100,mean,h2,a0.02]",0.3511,0.3157,0.337,0.2,0.1875,0.6,0.5625,0.3071
"bm25+expand_sel[k100,mean,h2,a0.05]",0.3588,0.317,0.3421,0.2,0.1875,0.625,0.5625,0.3059
"bm25+expand_sel[k100,mean,h2,a0.1]",0.3614,0.3172,0.3438,0.2,0.1875,0.625,0.5625,0.3169
"bm25+expand_sel[k100,mean,h2,a0.2]",0.3899,0.3196,0.3618,0.225,0.1875,0.625,0.5625,0.3497
"bm25+expand_sel[k100,mean,h2,a0.3]",0.4249,0.3142,0.3806,0.25,0.1875,0.625,0.5625,0.3486
"bm25+expand_sel[k100,mean,h2,a0.5]",0.4408,0.2465,0.363,0.25,0.125,0.6,0.5,0.335
"bm25+expand_sel[k100,mean,h2,a0.8]",0.4132,0.1758,0.3183,0.2,0.0625,0.55,0.375,0.2984
"bm25+expand_sel[k100,mean,h2,a1.2]",0.3374,0.1878,0.2776,0.175,0.125,0.55,0.375,0.2679
"bm25+expand_sel[k100,mean,h2,a2.0]",0.3217,0.1672,0.2599,0.175,0.125,0.525,0.3125,0.2153
"bm25+expand_sel[k100,sym,h1,a0.02]",0.3583,0.3157,0.3413,0.2,0.1875,0.6,0.5625,0.3092
"bm25+expand_sel[k100,sym,h1,a0.05]",0.3744,0.3212,0.3531,0.2,0.1875,0.625,0.5625,0.3226
"bm25+expand_sel[k100,sym,h1,a0.1]",0.3999,0.3223,0.3688,0.225,0.1875,0.625,0.5625,0.3342
"bm25+expand_sel[k100,sym,h1,a0.2]",0.4222,0.3217,0.382,0.225,0.1875,0.625,0.5625,0.3581
"bm25+expand_sel[k100,sym,h1,a0.3]",0.4948,0.3132,0.4222,0.3,0.1875,0.65,0.5625,0.3736
"bm25+expand_sel[k100,sym,h1,a0.5]",0.5402,0.2954,0.4423,0.35,0.1875,0.675,0.625,0.3791
"bm25+expand_sel[k100,sym,h1,a0.8]",0.4646,0.142,0.3355,0.2,0.0,0.6,0.5,0.3136
"bm25+expand_sel[k100,sym,h1,a1.2]",0.3656,0.1169,0.2661,0.125,0.0,0.575,0.4375,0.2747
"bm25+expand_sel[k100,sym,h1,a2.0]",0.2684,0.0815,0.1936,0.075,0.0,0.5,0.25,0.2228
"bm25+expand_sel[k100,sym,h2,a0.02]",0.3546,0.317,0.3395,0.2,0.1875,0.6,0.5625,0.3084
"bm25+expand_sel[k100,sym,h2,a0.05]",0.3671,0.3173,0.3472,0.2,0.1875,0.625,0.5625,0.3158
"bm25+expand_sel[k100,sym,h2,a0.1]",0.3787,0.3211,0.3556,0.2,0.1875,0.625,0.5625,0.328
"bm25+expand_sel[k100,sym,h2,a0.2]",0.4045,0.3201,0.3707,0.225,0.1875,0.625,0.5625,0.3449
"bm25+expand_sel[k100,sym,h2,a0.3]",0.4403,0.3186,0.3916,0.25,0.1875,0.625,0.5625,0.3537
"bm25+expand_sel[k100,sym,h2,a0.5]",0.4552,0.2549,0.3751,0.25,0.125,0.625,0.5625,0.3494
"bm25+expand_sel[k100,sym,h2,a0.8]",0.434,0.192,0.3372,0.225,0.0625,0.575,0.4375,0.3176
"bm25+expand_sel[k100,sym,h2,a1.2]",0.3819,0.1467,0.2878,0.15,0.0,0.575,0.375,0.2802
"bm25+expand_sel[k100,sym,h2,a2.0]",0.3375,0.114,0.2481,0.125,0.0,0.6,0.375,0.2565
"bm25+ppr[k10,b0.5,a0.02]",0.3494,0.3157,0.3359,0.2,0.1875,0.6,0.5625,0.3071
"bm25+ppr[k10,b0.5,a0.05]",0.3469,0.317,0.335,0.2,0.1875,0.6,0.5625,0.3058
"bm25+ppr[k10,b0.5,a0.1]",0.3475,0.3173,0.3354,0.2,0.1875,0.6,0.5625,0.3058
"bm25+ppr[k10,b0.5,a0.2]",0.3579,0.3195,0.3426,0.2,0.1875,0.6,0.5625,0.3096
"bm25+ppr[k10,b0.5,a0.3]",0.3584,0.3198,0.3429,0.2,0.1875,0.6,0.5625,0.3096
"bm25+ppr[k10,b0.5,a0.5]",0.3603,0.3205,0.3444,0.2,0.1875,0.6,0.5625,0.3169
"bm25+ppr[k10,b0.5,a0.8]",0.3776,0.3241,0.3562,0.2,0.1875,0.6,0.5625,0.3234
"bm25+ppr[k10,b0.5,a1.2]",0.3952,0.2417,0.3338,0.175,0.0625,0.6,0.5625,0.3124
"bm25+ppr[k10,b0.5,a2.0]",0.3952,0.243,0.3343,0.175,0.0625,0.6,0.5625,0.3169
"bm25+ppr[k10,b0.85,a0.02]",0.3504,0.317,0.337,0.2,0.1875,0.6,0.5625,0.3071
"bm25+ppr[k10,b0.85,a0.05]",0.3506,0.3172,0.3372,0.2,0.1875,0.6,0.5625,0.3034
"bm25+ppr[k10,b0.85,a0.1]",0.358,0.3194,0.3425,0.2,0.1875,0.6,0.5625,0.3096
"bm25+ppr[k10,b0.85,a0.2]",0.3599,0.3197,0.3438,0.2,0.1875,0.6,0.5625,0.3169
"bm25+ppr[k10,b0.85,a0.3]",0.3672,0.3205,0.3485,0.2,0.1875,0.6,0.5625,0.3243
"bm25+ppr[k10,b0.85,a0.5]",0.3674,0.2392,0.3161,0.15,0.0625,0.6,0.5625,0.3008
"bm25+ppr[k10,b0.85,a0.8]",0.3891,0.2653,0.3396,0.2,0.125,0.6,0.5625,0.3159
"bm25+ppr[k10,b0.85,a1.2]",0.3841,0.2673,0.3374,0.2,0.125,0.6,0.5625,0.3169
"bm25+ppr[k10,b0.85,a2.0]",0.3838,0.2944,0.348,0.225,0.1875,0.6,0.5625,0.3219
"bm25+ppr[k30,b0.5,a0.02]",0.3529,0.3157,0.338,0.2,0.1875,0.6,0.5625,0.3084
"bm25+ppr[k30,b0.5,a0.05]",0.3539,0.317,0.3391,0.2,0.1875,0.6,0.5625,0.3084
"bm25+ppr[k30,b0.5,a0.1]",0.3683,0.3172,0.3479,0.2,0.1875,0.6,0.5625,0.3167
"bm25+ppr[k30,b0.5,a0.2]",0.3755,0.3189,0.3528,0.2,0.1875,0.6,0.5625,0.3155
"bm25+ppr[k30,b0.5,a0.3]",0.372,0.3231,0.3524,0.2,0.1875,0.625,0.625,0.3153
"bm25+ppr[k30,b0.5,a0.5]",0.365,0.3232,0.3483,0.2,0.1875,0.625,0.625,0.3145
"bm25+ppr[k30,b0.5,a0.8]",0.3705,0.3215,0.3509,0.2,0.1875,0.65,0.625,0.3158
"bm25+ppr[k30,b0.5,a1.2]",0.3668,0.2392,0.3158,0.15,0.0625,0.65,0.625,0.2856
"bm25+ppr[k30,b0.5,a2.0]",0.3838,0.2387,0.3258,0.175,0.0625,0.65,0.625,0.2983
"bm25+ppr[k30,b0.85,a0.02]",0.3539,0.3157,0.3386,0.2,0.1875,0.6,0.5625,0.3084
"bm25+ppr[k30,b0.85,a0.05]",0.3504,0.3172,0.3371,0.2,0.1875,0.6,0.5625,0.3065
"bm25+ppr[k30,b0.85,a0.1]",0.3718,0.3186,0.3505,0.2,0.1875,0.6,0.5625,0.3135
"bm25+ppr[k30,b0.85,a0.2]",0.3628,0.3201,0.3457,0.2,0.1875,0.6,0.5625,0.3156
"bm25+ppr[k30,b0.85,a0.3]",0.3644,0.32,0.3466,0.2,0.1875,0.625,0.625,0.3096
"bm25+ppr[k30,b0.85,a0.5]",0.3843,0.2385,0.326,0.175,0.0625,0.65,0.625,0.315
"bm25+ppr[k30,b0.85,a0.8]",0.3889,0.2723,0.3423,0.2,0.125,0.65,0.625,0.3144
"bm25+ppr[k30,b0.85,a1.2]",0.391,0.2697,0.3425,0.2,0.125,0.65,0.625,0.3083
"bm25+ppr[k30,b0.85,a2.0]",0.3694,0.2623,0.3266,0.2,0.125,0.6,0.5,0.3253
"bm25+prior[r0.0,d0.05]",0.3531,0.3173,0.3388,0.2,0.1875,0.6,0.5625,0.3121
"bm25+prior[r0.0,d0.1]",0.3531,0.3196,0.3397,0.2,0.1875,0.625,0.625,0.3121
"bm25+prior[r0.0,d0.2]",0.361,0.351,0.357,0.225,0.25,0.625,0.625,0.3216
"bm25+prior[r0.0,d0.3]",0.361,0.3518,0.3574,0.225,0.25,0.625,0.625,0.3216
"bm25+prior[r0.0,d0.5]",0.361,0.3522,0.3575,0.225,0.25,0.625,0.625,0.322
"bm25+prior[r0.05,d0.0]",0.3496,0.3157,0.336,0.2,0.1875,0.6,0.5625,0.3108
"bm25+prior[r0.05,d0.05]",0.3534,0.3178,0.3391,0.2,0.1875,0.6,0.5625,0.3158
"bm25+prior[r0.05,d0.1]",0.3534,0.3202,0.3401,0.2,0.1875,0.625,0.625,0.3158
"bm25+prior[r0.05,d0.2]",0.3613,0.3515,0.3574,0.225,0.25,0.625,0.625,0.3257
"bm25+prior[r0.05,d0.3]",0.3621,0.3525,0.3583,0.225,0.25,0.625,0.625,0.3257
"bm25+prior[r0.05,d0.5]",0.3622,0.353,0.3585,0.225,0.25,0.625,0.625,0.3261
"bm25+prior[r0.1,d0.0]",0.35,0.3164,0.3365,0.2,0.1875,0.6,0.5625,0.3112
"bm25+prior[r0.1,d0.05]",0.3545,0.3187,0.3402,0.2,0.1875,0.6,0.5625,0.3162
"bm25+prior[r0.1,d0.1]",0.3545,0.3209,0.341,0.2,0.1875,0.625,0.625,0.3169
"bm25+prior[r0.1,d0.2]",0.3625,0.3524,0.3585,0.225,0.25,0.625,0.625,0.3264
"bm25+prior[r0.1,d0.3]",0.3634,0.3532,0.3593,0.225,0.25,0.625,0.625,0.3264
"bm25+prior[r0.1,d0.5]",0.3636,0.3539,0.3597,0.225,0.25,0.625,0.625,0.3268
"bm25+prior[r0.2,d0.0]",0.3521,0.3174,0.3382,0.2,0.1875,0.6,0.5625,0.3119
"bm25+prior[r0.2,d0.05]",0.3566,0.3194,0.3417,0.2,0.1875,0.6,0.5625,0.3169
"bm25+prior[r0.2,d0.1]",0.3569,0.3219,0.3429,0.2,0.1875,0.625,0.625,0.3169
"bm25+prior[r0.2,d0.2]",0.3649,0.3532,0.3602,0.225,0.25,0.625,0.625,0.3264
"bm25+prior[r0.2,d0.3]",0.3652,0.3549,0.3611,0.225,0.25,0.625,0.625,0.3264
"bm25+prior[r0.2,d0.5]",0.3657,0.3555,0.3616,0.225,0.25,0.625,0.625,0.3268
"bm25+prior[r0.3,d0.0]",0.3536,0.3174,0.3391,0.2,0.1875,0.6,0.5625,0.3119
"bm25+prior[r0.3,d0.05]",0.3575,0.3198,0.3424,0.2,0.1875,0.6,0.5625,0.3169
"bm25+prior[r0.3,d0.1]",0.3577,0.3219,0.3434,0.2,0.1875,0.625,0.625,0.3169
"bm25+prior[r0.3,d0.2]",0.3663,0.3541,0.3614,0.225,0.25,0.625,0.625,0.3264
"bm25+prior[r0.3,d0.3]",0.3666,0.3553,0.3621,0.225,0.25,0.625,0.625,0.3264
"bm25+prior[r0.3,d0.5]",0.3668,0.3559,0.3625,0.225,0.25,0.625,0.625,0.3268
"bm25+prior[r0.5,d0.0]",0.3544,0.3184,0.34,0.2,0.1875,0.6,0.5625,0.3119
"bm25+prior[r0.5,d0.05]",0.3583,0.3207,0.3433,0.2,0.1875,0.6,0.5625,0.3169
"bm25+prior[r0.5,d0.1]",0.3587,0.3228,0.3444,0.2,0.1875,0.625,0.625,0.3169
"bm25+prior[r0.5,d0.2]",0.3668,0.3545,0.3619,0.225,0.25,0.625,0.625,0.3264
"bm25+prior[r0.5,d0.3]",0.367,0.3558,0.3625,0.225,0.25,0.625,0.625,0.3264
"bm25+prior[r0.5,d0.5]",0.3671,0.3559,0.3627,0.225,0.25,0.625,0.625,0.3268
"dense+expand[k10,sum,h1,a0.02]",0.5031,0.3886,0.4573,0.325,0.25,0.7,0.625,0.4325
"dense+expand[k10,sum,h1,a0.05]",0.5046,0.3949,0.4607,0.325,0.25,0.725,0.625,0.4257
"dense+expand[k10,sum,h1,a0.1]",0.4794,0.4085,0.451,0.3,0.25,0.75,0.625,0.4236
"dense+expand[k10,sum,h1,a0.2]",0.4325,0.401,0.4199,0.25,0.25,0.75,0.625,0.4307
"dense+expand[k10,sum,h1,a0.3]",0.4183,0.3439,0.3885,0.225,0.1875,0.7,0.625,0.3861
"dense+expand[k10,sum,h1,a0.5]",0.3727,0.2887,0.3391,0.2,0.125,0.625,0.5,0.3395
"dense+expand[k10,sum,h1,a0.8]",0.2997,0.2493,0.2796,0.15,0.125,0.55,0.5,0.2946
"dense+expand[k10,sum,h1,a1.2]",0.2789,0.2493,0.2671,0.15,0.125,0.525,0.5,0.2753
"dense+expand[k10,sum,h1,a2.0]",0.231,0.249,0.2382,0.125,0.125,0.5,0.5,0.264
"dense+expand[k10,sum,h2,a0.02]",0.5102,0.4143,0.4718,0.35,0.3125,0.7,0.625,0.4309
"dense+expand[k10,sum,h2,a0.05]",0.5276,0.3871,0.4714,0.35,0.25,0.7,0.625,0.4153
"dense+expand[k10,sum,h2,a0.1]",0.5136,0.3462,0.4466,0.3,0.1875,0.7,0.625,0.4082
"dense+expand[k10,sum,h2,a0.2]",0.4877,0.3521,0.4334,0.275,0.1875,0.775,0.75,0.4112
"dense+expand[k10,sum,h2,a0.3]",0.4901,0.3513,0.4346,0.275,0.1875,0.75,0.75,0.4216
"dense+expand[k10,sum,h2,a0.5]",0.4628,0.3426,0.4147,0.25,0.1875,0.75,0.75,0.3991
"dense+expand[k10,sum,h2,a0.8]",0.4253,0.3413,0.3917,0.225,0.1875,0.75,0.75,0.3778
"dense+expand[k10,sum,h2,a1.2]",0.422,0.3805,0.4054,0.25,0.25,0.775,0.8125,0.3912
"dense+expand[k10,sum,h2,a2.0]",0.4041,0.3702,0.3906,0.25,0.25,0.7,0.6875,0.3858
"dense+expand[k10,mean,h1,a0.02]",0.5035,0.4121,0.4669,0.35,0.3125,0.725,0.625,0.4323
"dense+expand[k10,mean,h1,a0.05]",0.4876,0.3806,0.4448,0.3,0.25,0.7,0.625,0.4122
"dense+expand[k10,mean,h1,a0.1]",0.4497,0.3793,0.4215,0.275,0.25,0.725,0.625,0.3944
"dense+expand[k10,mean,h1,a0.2]",0.3392,0.3488,0.3431,0.175,0.1875,0.675,0.625,0.3451
"dense+expand[k10,mean,h1,a0.3]",0.3086,0.2584,0.2885,0.125,0.0625,0.65,0.625,0.2813
"dense+expand[k10,mean,h1,a0.5]",0.2174,0.1969,0.2092,0.075,0.0625,0.45,0.4375,0.2025
"dense+expand[k10,mean,h1,a0.8]",0.1373,0.1531,0.1436,0.025,0.0625,0.35,0.375,0.1353
"dense+expand[k10,mean,h1,a1.2]",0.1064,0.1149,0.1098,0.025,0.0625,0.3,0.25,0.0962
"dense+expand[k10,mean,h1,a2.0]",0.1179,0.0721,0.0996,0.025,0.0,0.3,0.25,0.0947
"dense+expand[k10,mean,h2,a0.02]",0.4976,0.4189,0.4661,0.35,0.3125,0.7,0.625,0.4309
"dense+expand[k10,mean,h2,a0.05]",0.4999,0.4274,0.4709,0.35,0.3125,0.7,0.625,0.4372
"dense+expand[k10,mean,h2,a0.1]",0.4752,0.4284,0.4565,0.325,0.3125,0.725,0.625,0.4268
"dense+expand[k10,mean,h2,a0.2]",0.4098,0.3939,0.4034,0.225,0.1875,0.75,0.6875,0.4013
"dense+expand[k10,mean,h2,a0.3]",0.3535,0.4031,0.3734,0.225,0.25,0.75,0.6875,0.3609
"dense+expand[k10,mean,h2,a0.5]",0.3178,0.3477,0.3298,0.175,0.1875,0.725,0.6875,0.3331
"dense+expand[k10,mean,h2,a0.8]",0.2779,0.3026,0.2878,0.15,0.1875,0.675,0.6875,0.2782
"dense+expand[k10,mean,h2,a1.2]",0.2322,0.2962,0.2578,0.125,0.1875,0.6,0.625,0.2457
"dense+expand[k10,mean,h2,a2.0]",0.1975,0.2744,0.2283,0.1,0.1875,0.5,0.625,0.2123
"dense+expand[k10,sym,h1,a0.02]",0.4996,0.3824,0.4527,0.325,0.25,0.7,0.625,0.4239
"dense+expand[k10,sym,h1,a0.05]",0.4777,0.3856,0.4409,0.3,0.25,0.725,0.625,0.4176
"dense+expand[k10,sym,h1,a0.1]",0.4138,0.3952,0.4064,0.25,0.25,0.725,0.625,0.3914
"dense+expand[k10,sym,h1,a0.2]",0.3121,0.3604,0.3314,0.15,0.1875,0.7,0.625,0.3457
"dense+expand[k10,sym,h1,a0.3]",0.2797,0.2552,0.2699,0.1,0.0625,0.65,0.5625,0.282
"dense+expand[k10,sym,h1,a0.5]",0.2552,0.2105,0.2373,0.125,0.0625,0.5,0.5,0.2296
"dense+expand[k10,sym,h1,a0.8]",0.2071,0.1627,0.1894,0.075,0.0,0.4,0.5,0.1918
"dense+expand[k10,sym,h1,a1.2]",0.1877,0.1406,0.1689,0.05,0.0,0.35,0.4375,0.1655
"dense+expand[k10,sym,h1,a2.0]",0.1769,0.0911,0.1426,0.05,0.0,0.275,0.25,0.1502
"dense+expand[k10,sym,h2,a0.02]",0.4957,0.3877,0.4525,0.325,0.25,0.7,0.625,0.4265
"dense+expand[k10,sym,h2,a0.05]",0.4978,0.3947,0.4566,0.325,0.25,0.7,0.625,0.4293
"dense+expand[k10,sym,h2,a0.1]",0.4881,0.3984,0.4522,0.325,0.25,0.725,0.625,0.4139
"dense+expand[k10,sym,h2,a0.2]",0.419,0.4291,0.4231,0.25,0.25,0.725,0.625,0.4167
"dense+expand[k10,sym,h2,a0.3]",0.3779,0.409,0.3904,0.225,0.25,0.725,0.625,0.39
"dense+expand[k10,sym,h2,a0.5]",0.3691,0.3612,0.3659,0.225,0.1875,0.725,0.6875,0.365
"dense+expand[k10,sym,h2,a0.8]",0.383,0.3109,0.3542,0.225,0.125,0.725,0.6875,0.3465
"dense+expand[k10,sym,h2,a1.2]",0.3287,0.3212,0.3257,0.2,0.1875,0.625,0.625,0.3286
"dense+expand[k10,sym,h2,a2.0]",0.2836,0.2831,0.2834,0.175,0.1875,0.55,0.5625,0.2841
"dense+expand[k30,sum,h1,a0.02]",0.5029,0.3835,0.4551,0.325,0.25,0.7,0.625,0.4253
"dense+expand[k30,sum,h1,a0.05]",0.5415,0.3918,0.4816,0.35,0.25,0.725,0.625,0.4388
"dense+expand[k30,sum,h1,a0.1]",0.5173,0.3833,0.4637,0.3,0.1875,0.75,0.6875,0.4307
"dense+expand[k30,sum,h1,a0.2]",0.4634,0.4252,0.4481,0.275,0.25,0.8,0.75,0.4402
"dense+expand[k30,sum,h1,a0.3]",0.4455,0.3923,0.4243,0.275,0.25,0.8,0.75,0.416
"dense+expand[k30,sum,h1,a0.5]",0.3694,0.3352,0.3557,0.2,0.1875,0.725,0.6875,0.353
"dense+expand[k30,sum,h1,a0.8]",0.2981,0.2303,0.271,0.125,0.0625,0.625,0.5,0.2855
