name,train_mrr,val_mrr,mrr,hit@1,val_hit@1,recall@10,val_recall@10,ndcg@5
"bm25+expand[k10,sym,h2,a1.2]",0.3392,0.2014,0.2841,0.15,0.0625,0.6,0.5625,0.2765
"bm25+expand[k10,sym,h2,a2.0]",0.245,0.1861,0.2214,0.075,0.0625,0.575,0.5,0.2342
"bm25+expand[k30,sum,h1,a0.02]",0.3575,0.3201,0.3426,0.2,0.1875,0.6,0.5625,0.3103
"bm25+expand[k30,sum,h1,a0.05]",0.3893,0.3241,0.3632,0.225,0.1875,0.625,0.625,0.3199
"bm25+expand[k30,sum,h1,a0.1]",0.411,0.3249,0.3765,0.25,0.1875,0.625,0.625,0.331
"bm25+expand[k30,sum,h1,a0.2]",0.4301,0.3368,0.3928,0.275,0.1875,0.625,0.625,0.3496
"bm25+expand[k30,sum,h1,a0.3]",0.4456,0.3019,0.3881,0.275,0.125,0.65,0.625,0.348
"bm25+expand[k30,sum,h1,a0.5]",0.4356,0.3412,0.3978,0.3,0.1875,0.6,0.5625,0.3565
"bm25+expand[k30,sum,h1,a0.8]",0.3581,0.3192,0.3425,0.225,0.1875,0.55,0.5,0.3392
"bm25+expand[k30,sum,h1,a1.2]",0.2989,0.2792,0.291,0.175,0.1875,0.525,0.5,0.2926
"bm25+expand[k30,sum,h1,a2.0]",0.2135,0.1909,0.2044,0.075,0.0625,0.425,0.375,0.2209
"bm25+expand[k30,sum,h2,a0.02]",0.3535,0.3189,0.3397,0.2,0.1875,0.6,0.5625,0.3124
"bm25+expand[k30,sum,h2,a0.05]",0.3885,0.3238,0.3626,0.225,0.1875,0.625,0.625,0.3242
"bm25+expand[k30,sum,h2,a0.1]",0.3974,0.324,0.368,0.225,0.1875,0.625,0.625,0.3351
"bm25+expand[k30,sum,h2,a0.2]",0.4134,0.3272,0.3789,0.25,0.1875,0.65,0.625,0.3511
"bm25+expand[k30,sum,h2,a0.3]",0.4141,0.3063,0.371,0.2,0.125,0.65,0.625,0.3597
"bm25+expand[k30,sum,h2,a0.5]",0.4348,0.3171,0.3877,0.225,0.125,0.65,0.625,0.3699
"bm25+expand[k30,sum,h2,a0.8]",0.3902,0.3421,0.371,0.2,0.1875,0.625,0.5625,0.3756
"bm25+expand[k30,sum,h2,a1.2]",0.3385,0.3674,0.3501,0.2,0.25,0.625,0.5625,0.3542
"bm25+expand[k30,sum,h2,a2.0]",0.2984,0.3262,0.3095,0.175,0.25,0.625,0.5625,0.3307
"bm25+expand[k30,mean,h1,a0.02]",0.356,0.3157,0.3399,0.2,0.1875,0.6,0.5625,0.3092
"bm25+expand[k30,mean,h1,a0.05]",0.3606,0.3198,0.3443,0.2,0.1875,0.6,0.5625,0.3151
"bm25+expand[k30,mean,h1,a0.1]",0.3853,0.3212,0.3597,0.225,0.1875,0.625,0.625,0.3231
"bm25+expand[k30,mean,h1,a0.2]",0.4012,0.285,0.3547,0.225,0.125,0.6,0.5625,0.3251
"bm25+expand[k30,mean,h1,a0.3]",0.3962,0.2804,0.3499,0.225,0.125,0.6,0.5625,0.3105
"bm25+expand[k30,mean,h1,a0.5]",0.4103,0.207,0.329,0.225,0.0625,0.55,0.5625,0.2799
"bm25+expand[k30,mean,h1,a0.8]",0.3134,0.1943,0.2657,0.15,0.125,0.5,0.5,0.212
"bm25+expand[k30,mean,h1,a1.2]",0.2024,0.1477,0.1805,0.05,0.0625,0.475,0.4375,0.1723
"bm25+expand[k30,mean,h1,a2.0]",0.1531,0.1094,0.1356,0.05,0.0625,0.325,0.1875,0.1351
"bm25+expand[k30,mean,h2,a0.02]",0.3541,0.3157,0.3387,0.2,0.1875,0.6,0.5625,0.3047
"bm25+expand[k30,mean,h2,a0.05]",0.3583,0.3157,0.3413,0.2,0.1875,0.6,0.5625,0.3059
"bm25+expand[k30,mean,h2,a0.1]",0.3578,0.3155,0.3409,0.2,0.1875,0.6,0.5625,0.3133
"bm25+expand[k30,mean,h2,a0.2]",0.3851,0.3196,0.3589,0.225,0.1875,0.625,0.5625,0.34
