name,train_mrr,val_mrr,mrr,hit@1,val_hit@1,recall@10,val_recall@10,ndcg@5
"rrf+expand[k30,sum,h1,a0.5]",0.2593,0.2972,0.2745,0.15,0.1875,0.6,0.5625,0.302
"rrf+expand[k30,sum,h1,a0.8]",0.2395,0.259,0.2473,0.15,0.1875,0.55,0.5,0.2787
"rrf+expand[k30,sum,h1,a1.2]",0.1948,0.256,0.2193,0.125,0.1875,0.525,0.4375,0.2415
"rrf+expand[k30,sum,h1,a2.0]",0.1747,0.2492,0.2045,0.125,0.1875,0.475,0.4375,0.2174
"rrf+expand[k30,sum,h2,a0.05]",0.268,0.3552,0.3029,0.125,0.25,0.675,0.5625,0.3261
"rrf+expand[k30,sum,h2,a0.1]",0.2191,0.3082,0.2547,0.075,0.1875,0.65,0.5625,0.2769
"rrf+expand[k30,sum,h2,a0.2]",0.2071,0.2868,0.239,0.075,0.1875,0.55,0.4375,0.2679
"rrf+expand[k30,sum,h2,a0.3]",0.2059,0.2793,0.2353,0.075,0.1875,0.5,0.4375,0.2673
"rrf+expand[k30,sum,h2,a0.5]",0.1984,0.2741,0.2286,0.075,0.1875,0.5,0.5,0.2578
"rrf+expand[k30,sum,h2,a0.8]",0.1951,0.2425,0.214,0.05,0.125,0.475,0.5,0.2508
"rrf+expand[k30,sum,h2,a1.2]",0.1939,0.2386,0.2118,0.05,0.125,0.475,0.5,0.2508
"rrf+expand[k30,sum,h2,a2.0]",0.1933,0.2374,0.2109,0.05,0.125,0.475,0.5,0.2512
"rrf+expand[k30,mean,h1,a0.05]",0.4984,0.451,0.4795,0.35,0.375,0.775,0.6875,0.4131
"rrf+expand[k30,mean,h1,a0.1]",0.4582,0.4308,0.4472,0.325,0.375,0.75,0.625,0.3948
"rrf+expand[k30,mean,h1,a0.2]",0.4638,0.4272,0.4491,0.325,0.375,0.75,0.625,0.4007
"rrf+expand[k30,mean,h1,a0.3]",0.4718,0.4228,0.4522,0.35,0.375,0.725,0.625,0.4047
"rrf+expand[k30,mean,h1,a0.5]",0.3914,0.3623,0.3797,0.225,0.25,0.675,0.5625,0.3711
"rrf+expand[k30,mean,h1,a0.8]",0.3311,0.229,0.2903,0.15,0.125,0.6,0.5,0.2847
"rrf+expand[k30,mean,h1,a1.2]",0.2761,0.1927,0.2427,0.125,0.125,0.55,0.5,0.2123
"rrf+expand[k30,mean,h1,a2.0]",0.1891,0.0992,0.1531,0.025,0.0,0.45,0.3125,0.1275
"rrf+expand[k30,mean,h2,a0.05]",0.538,0.4398,0.4987,0.4,0.375,0.75,0.6875,0.4403
"rrf+expand[k30,mean,h2,a0.1]",0.508,0.4397,0.4807,0.375,0.375,0.75,0.6875,0.4441
"rrf+expand[k30,mean,h2,a0.2]",0.4936,0.4232,0.4654,0.325,0.3125,0.75,0.6875,0.4442
"rrf+expand[k30,mean,h2,a0.3]",0.4647,0.4157,0.4451,0.3,0.3125,0.725,0.625,0.421
"rrf+expand[k30,mean,h2,a0.5]",0.4633,0.3533,0.4193,0.3,0.25,0.725,0.625,0.3948
"rrf+expand[k30,mean,h2,a0.8]",0.4258,0.2969,0.3743,0.25,0.1875,0.7,0.625,0.3542
"rrf+expand[k30,mean,h2,a1.2]",0.3828,0.2225,0.3187,0.175,0.0625,0.65,0.5625,0.2898
"rrf+expand[k30,mean,h2,a2.0]",0.3142,0.1931,0.2657,0.125,0.0625,0.575,0.5,0.2364
"rrf+expand[k30,sym,h1,a0.05]",0.5062,0.4522,0.4846,0.35,0.375,0.775,0.6875,0.4251
"rrf+expand[k30,sym,h1,a0.1]",0.5154,0.4351,0.4833,0.375,0.375,0.75,0.625,0.422
"rrf+expand[k30,sym,h1,a0.2]",0.5221,0.4278,0.4844,0.375,0.375,0.75,0.6875,0.4275
"rrf+expand[k30,sym,h1,a0.3]",0.5173,0.4404,0.4866,0.375,0.375,0.725,0.6875,0.4368
"rrf+expand[k30,sym,h1,a0.5]",0.4708,0.4467,0.4612,0.35,0.375,0.7,0.625,0.4393
"rrf+expand[k30,sym,h1,a0.8]",0.4416,0.308,0.3882,0.225,0.125,0.65,0.5625,0.3763
"rrf+expand[k30,sym,h1,a1.2]",0.3505,0.2041,0.2919,0.125,0.0625,0.625,0.5625,0.2871
"rrf+expand[k30,sym,h1,a2.0]",0.2697,0.116,0.2082,0.075,0.0,0.55,0.4375,0.2068
"rrf+expand[k30,sym,h2,a0.05]",0.5738,0.4464,0.5228,0.425,0.375,0.75,0.6875,0.4498
"rrf+expand[k30,sym,h2,a0.1]",0.5332,0.4117,0.4846,0.375,0.3125,0.75,0.6875,0.4453
"rrf+expand[k30,sym,h2,a0.2]",0.5211,0.4608,0.497,0.375,0.375,0.75,0.6875,0.479
"rrf+expand[k30,sym,h2,a0.3]",0.5021,0.4223,0.4701,0.325,0.3125,0.725,0.625,0.465
"rrf+expand[k30,sym,h2,a0.5]",0.4936,0.3445,0.4339,0.275,0.1875,0.725,0.625,0.4386
"rrf+expand[k30,sym,h2,a0.8]",0.4538,0.3317,0.405,0.25,0.1875,0.725,0.625,0.4252
"rrf+expand[k30,sym,h2,a1.2]",0.3907,0.2536,0.3359,0.175,0.125,0.7,0.625,0.3437
"rrf+expand[k30,sym,h2,a2.0]",0.3374,0.2262,0.293,0.15,0.125,0.7,0.625,0.2948
"rrf+expand[k100,sum,h1,a0.05]",0.4863,0.407,0.4546,0.3,0.25,0.75,0.6875,0.4635
"rrf+expand[k100,sum,h1,a0.1]",0.4224,0.3525,0.3944,0.25,0.1875,0.725,0.625,0.399
"rrf+expand[k100,sum,h1,a0.2]",0.3711,0.3729,0.3718,0.25,0.25,0.65,0.5,0.394
"rrf+expand[k100,sum,h1,a0.3]",0.3544,0.3033,0.3339,0.225,0.1875,0.65,0.625,0.3554
"rrf+expand[k100,sum,h1,a0.5]",0.2881,0.2845,0.2866,0.175,0.1875,0.6,0.625,0.2929
"rrf+expand[k100,sum,h1,a0.8]",0.2281,0.2601,0.2409,0.15,0.1875,0.55,0.5625,0.2452
"rrf+expand[k100,sum,h1,a1.2]",0.1852,0.2513,0.2116,0.125,0.1875,0.5,0.5625,0.206
